"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2021","494.25","500.00","501.09","485.67","5.99M","-0.97%"
"01/11/2021","499.10","507.84","510.73","497.95","3.81M","-2.21%"
"01/08/2021","510.40","511.31","513.24","504.51","2.97M","0.30%"
"01/07/2021","508.89","508.28","516.44","506.42","3.69M","1.68%"
"01/06/2021","500.49","511.97","513.10","499.50","5.35M","-3.90%"
"01/05/2021","520.80","521.55","526.78","515.89","3.13M","-0.39%"
"01/04/2021","522.86","539.00","540.80","515.09","4.44M","-3.30%"
"12/31/2020","540.73","525.53","545.50","523.15","5.39M","3.08%"
"12/30/2020","524.59","530.13","533.26","523.69","1.88M","-1.18%"
"12/29/2020","530.87","519.90","536.55","515.48","4.02M","2.26%"
"12/28/2020","519.12","516.43","523.66","507.13","2.89M","1.00%"
"12/24/2020","513.97","515.12","519.34","512.21","1.14M","-0.10%"
"12/23/2020","514.48","524.76","526.32","514.20","2.39M","-2.44%"
"12/22/2020","527.33","527.69","530.40","520.50","1.91M","-0.30%"
"12/21/2020","528.91","530.05","532.62","521.15","3.89M","-1.04%"
"12/18/2020","534.45","533.20","536.37","526.02","4.50M","0.29%"
"12/17/2020","532.90","529.00","535.49","526.44","3.19M","1.54%"
"12/16/2020","524.83","520.11","527.38","517.69","3.68M","0.97%"
"12/15/2020","519.78","518.50","524.70","513.56","3.40M","-0.51%"
"12/14/2020","522.42","505.44","524.16","501.18","5.77M","3.82%"
"12/11/2020","503.22","495.00","503.34","494.85","3.21M","0.43%"
"12/10/2020","501.09","494.56","503.77","492.91","3.02M","1.52%"
"12/09/2020","493.60","510.53","514.50","491.29","4.18M","-3.72%"
"12/08/2020","512.66","517.90","521.49","505.55","4.23M","-0.60%"
"12/07/2020","515.78","500.01","517.76","497.77","4.29M","3.51%"
"12/04/2020","498.31","497.50","504.50","493.64","3.67M","0.16%"
"12/03/2020","497.52","502.99","508.77","496.04","2.83M","-1.16%"
