"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2022","95.63","97.76","99.53","95.03","40.59M","2.49%"
"12/12/2022","93.31","92.71","93.56","91.61","29.01M","0.52%"
"12/09/2022","92.83","93.77","94.26","92.75","28.23M","-0.94%"
"12/08/2022","93.71","95.38","95.58","93.45","32.21M","-1.30%"
"12/07/2022","94.94","96.41","96.88","94.71","31.05M","-2.10%"
"12/06/2022","96.98","99.30","99.78","96.42","24.91M","-2.51%"
"12/05/2022","99.48","99.40","101.38","99.00","24.41M","-0.96%"
"12/02/2022","100.44","99.05","100.77","98.90","21.48M","-0.54%"
"12/01/2022","100.99","101.02","102.25","100.25","28.69M","0.00%"
"11/30/2022","100.99","94.82","101.04","94.42","43.65M","6.09%"
"11/29/2022","95.19","95.73","96.12","94.11","20.06M","-0.90%"
"11/28/2022","96.05","97.04","97.58","95.61","26.25M","-1.45%"
"11/25/2022","97.46","98.24","98.64","97.40","9.70M","-1.02%"
"11/23/2022","98.46","97.09","98.76","97.09","18.87M","1.45%"
"11/22/2022","97.05","95.95","97.22","94.05","23.44M","1.52%"
"11/21/2022","95.60","97.29","98.40","95.36","21.65M","-1.88%"
"11/18/2022","97.43","98.77","98.90","96.37","28.34M","-0.95%"
"11/17/2022","98.36","96.97","99.28","96.79","26.05M","-0.50%"
"11/16/2022","98.85","97.90","99.64","97.64","29.11M","0.42%"
"11/15/2022","98.44","98.26","100.14","96.71","41.64M","2.86%"
"11/14/2022","95.70","95.09","96.79","94.51","30.18M","-0.74%"
"11/11/2022","96.41","94.69","96.93","93.92","33.09M","2.63%"
"11/10/2022","93.94","92.25","94.39","91.61","51.62M","7.58%"
"11/09/2022","87.32","88.45","89.43","87.28","31.77M","-1.78%"
"11/08/2022","88.90","88.90","90.32","87.59","30.43M","0.46%"
"11/07/2022","88.49","87.28","88.90","86.85","34.08M","2.21%"
"11/04/2022","86.58","85.40","86.64","83.71","51.12M","3.78%"
"11/03/2022","83.43","86.32","86.52","83.34","61.29M","-4.07%"
"11/02/2022","86.97","90.94","91.18","86.88","57.04M","-3.87%"
"11/01/2022","90.47","95.45","96.03","90.37","47.16M","-4.27%"
"10/31/2022","94.51","95.42","96.03","93.98","31.68M","-1.85%"
"10/28/2022","96.29","92.27","96.55","92.13","43.70M","4.41%"
"10/27/2022","92.22","94.52","95.43","91.80","60.71M","-2.85%"
"10/26/2022","94.93","96.43","98.31","94.69","88.28M","-9.14%"
"10/25/2022","104.48","102.90","104.82","102.72","40.61M","1.91%"
"10/24/2022","102.52","101.80","102.75","99.98","27.18M","1.37%"
"10/21/2022","101.13","97.85","101.31","97.72","32.46M","1.16%"
"10/20/2022","99.97","100.00","102.32","99.39","25.32M","0.34%"
"10/19/2022","99.63","100.01","101.02","98.92","23.81M","-1.13%"
"10/18/2022","100.77","103.13","103.47","99.97","24.06M","0.80%"
"10/17/2022","99.97","98.86","100.93","98.83","28.42M","3.53%"
"10/14/2022","96.56","99.99","100.69","96.37","25.41M","-2.52%"
"10/13/2022","99.06","95.15","99.78","94.38","34.57M","1.54%"
"10/12/2022","97.56","97.30","98.75","96.74","21.88M","0.39%"
"10/11/2022","97.18","97.43","99.25","96.31","26.51M","-0.69%"
