"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2022","469.62","455.51","473.35","454.87","4.00M","2.98%"
"09/23/2022","456.03","468.29","471.60","453.22","5.38M","-4.26%"
"09/22/2022","476.34","483.02","483.02","473.64","3.13M","-1.20%"
"09/21/2022","482.11","491.33","495.17","482.04","2.08M","-1.29%"
"09/20/2022","488.41","491.82","492.24","482.45","1.84M","-1.39%"
"09/19/2022","495.31","490.99","495.44","487.80","1.44M","0.48%"
"09/16/2022","492.93","488.46","495.18","486.24","3.00M","0.13%"
"09/15/2022","492.30","497.10","497.74","489.40","1.75M","-0.89%"
"09/14/2022","496.70","502.43","502.58","491.93","2.01M","-0.45%"
"09/13/2022","498.95","518.99","520.41","497.38","2.88M","-5.42%"
"09/12/2022","527.52","525.77","530.54","525.06","1.52M","0.55%"
"09/09/2022","524.65","520.29","526.10","517.76","1.93M","1.41%"
"09/08/2022","517.35","512.67","521.17","509.96","1.60M","-0.10%"
"09/07/2022","517.86","508.44","519.84","507.36","1.83M","2.07%"
"09/06/2022","507.36","508.59","511.52","501.13","1.93M","-0.04%"
"09/02/2022","507.57","520.86","522.95","504.58","1.90M","-1.90%"
"09/01/2022","517.40","508.16","517.80","505.53","2.28M","1.35%"
"08/31/2022","510.49","513.85","514.62","508.69","2.18M","-0.39%"
"08/30/2022","512.49","522.40","524.09","509.91","1.87M","-1.30%"
"08/29/2022","519.25","515.31","523.59","512.35","1.58M","-0.14%"
"08/26/2022","519.99","537.77","540.38","519.85","1.89M","-3.44%"
"08/25/2022","538.52","533.61","538.66","527.55","1.48M","1.39%"
"08/24/2022","531.14","530.68","533.10","527.37","1.15M","0.21%"
"08/23/2022","530.02","533.61","533.87","524.94","1.36M","-0.62%"
"08/22/2022","533.34","540.70","540.70","532.18","1.86M","-1.63%"
"08/19/2022","542.20","546.23","546.82","540.87","1.62M","-1.15%"
"08/18/2022","548.49","546.63","552.19","544.05","1.62M","0.83%"
"08/17/2022","543.95","537.77","547.01","536.80","1.84M","0.60%"
"08/16/2022","540.72","538.85","547.52","536.76","2.50M","1.33%"
"08/15/2022","533.62","524.47","534.84","523.77","1.85M","1.59%"
"08/12/2022","525.27","524.26","526.43","521.86","1.92M","0.94%"
"08/11/2022","520.37","531.16","531.41","519.99","2.34M","-1.41%"
"08/10/2022","527.82","532.37","537.68","525.34","2.34M","0.75%"
"08/09/2022","523.91","531.55","532.88","522.02","1.88M","-1.12%"
"08/08/2022","529.85","531.75","535.33","526.70","1.35M","0.23%"
"08/05/2022","528.65","525.29","529.56","521.49","1.71M","-0.48%"
"08/04/2022","531.20","534.84","535.03","528.65","2.00M","-0.68%"
"08/03/2022","534.85","532.88","536.50","530.06","1.69M","0.65%"
"08/02/2022","531.38","531.93","538.79","528.74","1.98M","-0.61%"
"08/01/2022","534.65","529.38","540.42","529.22","2.26M","1.02%"
"07/29/2022","529.26","520.17","530.07","520.07","2.13M","0.95%"
"07/28/2022","524.26","508.71","527.19","508.71","2.08M","2.66%"
"07/27/2022","510.70","501.69","513.64","499.80","2.06M","2.03%"
"07/26/2022","500.55","503.55","508.13","497.45","3.33M","-3.25%"
"07/25/2022","517.37","519.60","520.45","514.30","1.45M","-0.11%"
"07/22/2022","517.94","518.91","525.17","514.37","1.80M","0.05%"
"07/21/2022","517.69","512.39","517.96","510.00","1.72M","1.00%"
"07/20/2022","512.54","509.67","514.46","505.32","1.74M","0.76%"
"07/19/2022","508.66","510.79","513.89","505.48","2.39M","0.76%"
"07/18/2022","504.82","510.26","516.78","504.20","2.46M","-1.27%"
"07/15/2022","511.32","505.43","513.13","504.31","4.27M","2.15%"
"07/14/2022","500.56","485.06","501.86","482.64","3.72M","4.01%"
"07/13/2022","481.28","473.55","486.26","473.06","2.01M","0.34%"
"07/12/2022","479.66","485.96","490.74","477.19","1.78M","-1.67%"
"07/11/2022","487.81","489.98","494.31","483.84","1.89M","-0.53%"
"07/08/2022","490.39","486.26","494.28","485.95","2.61M","1.33%"
"07/07/2022","483.94","481.12","484.51","478.34","2.13M","0.47%"
"07/06/2022","481.70","477.40","485.97","476.93","2.26M","0.90%"
"07/05/2022","477.40","474.76","479.98","467.82","2.49M","0.51%"
"07/01/2022","474.96","470.48","480.33","467.37","2.66M","1.35%"
"06/30/2022","468.62","457.89","471.37","454.39","3.85M","2.01%"
"06/29/2022","459.39","460.48","462.46","456.04","1.28M","0.26%"
"06/28/2022","458.19","472.75","476.41","457.49","1.76M","-2.73%"
"06/27/2022","471.04","475.01","476.41","466.74","2.03M","-0.54%"
"06/24/2022","473.60","469.33","474.05","466.08","2.86M","1.97%"
"06/23/2022","464.44","456.00","465.69","455.35","2.03M","3.27%"
"06/22/2022","449.73","449.18","454.39","448.31","1.83M","-0.68%"
"06/21/2022","452.81","440.53","454.48","439.15","2.42M","3.68%"
"06/17/2022","436.76","441.02","445.56","433.35","3.62M","-1.12%"
"06/16/2022","441.72","440.30","447.59","438.01","2.91M","-1.53%"
"06/15/2022","448.59","448.31","454.04","441.35","2.25M","0.88%"
"06/14/2022","444.69","442.19","448.56","440.27","2.22M","0.56%"
"06/13/2022","442.19","439.99","448.44","438.92","3.11M","-2.39%"
"06/10/2022","453.01","454.66","457.78","447.58","2.55M","-1.85%"
"06/09/2022","461.55","456.95","473.47","456.76","3.09M","0.87%"
"06/08/2022","457.58","461.29","463.88","456.51","1.70M","-0.80%"
"06/07/2022","461.29","449.68","463.20","449.37","2.44M","-0.15%"
"06/06/2022","461.96","469.82","470.30","458.48","2.30M","-0.79%"
"06/03/2022","465.66","474.25","477.30","465.02","2.86M","-2.33%"
"06/02/2022","476.77","450.65","480.21","447.70","4.95M","6.70%"
"06/01/2022","446.83","458.94","460.04","446.54","2.32M","-1.98%"
"05/31/2022","455.85","460.29","460.33","447.85","4.42M","-0.96%"
"05/27/2022","460.29","446.64","464.32","445.00","5.72M","1.24%"
"05/26/2022","454.65","439.11","457.64","437.56","5.92M","5.65%"
"05/25/2022","430.32","426.63","433.40","421.25","3.23M","0.55%"
"05/24/2022","427.98","415.35","428.97","414.91","3.47M","1.92%"
"05/23/2022","419.93","410.66","420.44","407.41","3.69M","3.13%"
"05/20/2022","407.17","419.27","419.31","397.47","5.12M","-1.54%"
"05/19/2022","413.53","420.80","420.95","409.41","5.84M","-1.51%"
"05/18/2022","419.85","449.77","453.55","415.11","9.51M","-12.45%"
"05/17/2022","479.56","478.28","482.59","469.55","2.60M","-0.82%"
"05/16/2022","483.53","485.11","486.61","478.73","1.58M","-0.55%"
"05/13/2022","486.21","482.15","487.70","478.71","2.34M","2.28%"
"05/12/2022","475.37","475.97","486.20","469.09","2.83M","-0.59%"
"05/11/2022","478.21","492.72","496.70","476.96","2.78M","-2.47%"
"05/10/2022","490.31","498.37","499.28","484.61","2.73M","0.53%"
"05/09/2022","487.74","485.07","495.78","483.35","3.29M","-0.90%"
"05/06/2022","492.17","502.96","504.95","487.73","3.56M","-2.70%"
"05/05/2022","505.82","529.53","530.28","500.78","3.98M","-4.98%"
"05/04/2022","532.32","519.78","534.00","511.19","2.47M","3.10%"
"05/03/2022","516.34","518.22","522.39","512.06","2.40M","-0.16%"
"05/02/2022","517.19","520.40","527.21","506.74","3.30M","-0.52%"
"04/29/2022","519.90","548.46","549.09","517.92","2.97M","-5.39%"
"04/28/2022","549.50","543.12","552.24","533.66","2.12M","1.43%"
"04/27/2022","541.76","543.82","551.09","540.56","2.26M","0.06%"
"04/26/2022","541.45","552.68","555.70","541.01","2.06M","-2.54%"
"04/25/2022","555.58","557.63","557.65","541.22","3.15M","-0.61%"
"04/22/2022","558.99","577.22","578.74","558.35","2.88M","-3.39%"
"04/21/2022","578.58","593.78","595.63","578.01","2.03M","-1.95%"
"04/20/2022","590.11","585.83","591.82","584.02","1.79M","1.55%"
"04/19/2022","581.09","570.38","581.60","569.06","2.33M","2.09%"
"04/18/2022","569.18","572.36","578.94","566.71","2.16M","-1.40%"
"04/14/2022","577.26","578.62","583.02","574.00","2.21M","-2.34%"
"04/13/2022","591.09","582.47","593.49","582.47","2.21M","1.67%"
"04/12/2022","581.36","586.69","591.73","578.76","2.14M","-0.57%"
"04/11/2022","584.67","598.79","601.00","582.80","2.79M","-2.56%"
"04/08/2022","600.04","606.38","608.00","597.72","3.23M","-1.32%"
"04/07/2022","608.05","592.29","612.27","588.78","4.80M","3.98%"
"04/06/2022","584.79","574.03","586.80","570.37","2.65M","1.65%"
"04/05/2022","575.32","572.59","583.98","572.10","1.83M","0.03%"
"04/04/2022","575.13","573.94","579.69","571.47","2.20M","-0.08%"
"04/01/2022","575.57","577.38","582.99","572.31","1.93M","-0.05%"
"03/31/2022","575.85","578.70","586.32","575.51","3.44M","-0.11%"
"03/30/2022","576.47","570.95","578.25","568.59","2.09M","1.14%"
"03/29/2022","569.98","568.00","571.22","564.53","2.01M","0.84%"
"03/28/2022","565.21","556.74","565.26","553.50","2.06M","1.71%"
"03/25/2022","555.71","559.82","560.43","550.22","1.98M","-0.43%"
"03/24/2022","558.11","555.51","558.26","549.22","1.61M","0.74%"
"03/23/2022","554.02","556.95","560.69","551.91","1.55M","-0.97%"
"03/22/2022","559.42","556.96","560.35","552.33","1.78M","0.70%"
"03/21/2022","555.53","560.14","566.75","550.84","3.14M","-1.04%"
"03/18/2022","561.35","552.96","562.55","549.51","3.60M","1.55%"
"03/17/2022","552.79","543.35","553.17","543.20","1.97M","1.73%"
"03/16/2022","543.39","544.53","551.62","531.26","3.02M","0.20%"
"03/15/2022","542.32","530.00","543.85","527.92","2.55M","3.11%"
"03/14/2022","525.95","527.77","535.31","523.54","1.95M","-0.28%"
"03/11/2022","527.42","536.62","542.65","526.43","1.74M","-0.99%"
"03/10/2022","532.72","523.11","534.37","518.14","1.78M","0.96%"
"03/09/2022","527.65","527.62","530.86","515.71","2.79M","0.82%"
"03/08/2022","523.36","526.22","539.73","522.41","3.65M","-0.98%"
"03/07/2022","528.52","523.45","545.29","523.42","3.90M","0.57%"
"03/04/2022","525.50","519.50","529.92","511.78","4.42M","-1.42%"
"03/03/2022","533.05","534.49","538.96","529.54","3.85M","0.96%"
"03/02/2022","528.00","524.00","533.09","519.77","2.57M","0.97%"
"03/01/2022","522.93","519.46","529.36","519.19","2.32M","0.71%"
"02/28/2022","519.25","514.30","519.63","511.30","2.41M","0.34%"
"02/25/2022","517.49","508.58","518.25","505.25","2.00M","2.36%"
"02/24/2022","505.58","483.27","506.55","482.98","2.86M","2.08%"
"02/23/2022","495.26","502.94","507.97","494.77","2.02M","-1.38%"
"02/22/2022","502.18","510.00","514.58","498.16","2.45M","-2.05%"
"02/18/2022","512.67","514.89","517.90","510.33","2.15M","-0.45%"
"02/17/2022","515.01","509.64","518.21","507.03","2.02M","0.51%"
"02/16/2022","512.40","511.49","514.55","501.71","1.77M","-0.30%"
"02/15/2022","513.92","513.34","516.00","510.76","1.98M","1.45%"
"02/14/2022","506.56","508.99","511.53","501.44","1.75M","-0.61%"
"02/11/2022","509.67","518.40","521.35","507.38","2.35M","-1.70%"
"02/10/2022","518.48","520.87","524.47","514.75","2.56M","-1.96%"
"02/09/2022","528.83","528.00","534.24","525.68","2.26M","1.47%"
"02/08/2022","521.15","515.89","523.39","510.50","1.46M","1.02%"
"02/07/2022","515.89","521.30","522.00","514.23","1.86M","-0.75%"
"02/04/2022","519.77","518.11","522.00","510.80","2.39M","-0.38%"
"02/03/2022","521.77","515.88","526.44","514.21","2.67M","-0.05%"
"02/02/2022","522.02","511.11","523.99","510.34","2.55M","2.68%"
"02/01/2022","508.41","505.00","509.68","496.94","2.35M","0.65%"
"01/31/2022","505.13","492.00","506.42","490.63","2.48M","2.58%"
"01/28/2022","492.43","483.74","492.73","475.90","1.92M","2.05%"
"01/27/2022","482.52","486.92","495.79","480.31","2.37M","-0.20%"
"01/26/2022","483.47","483.23","493.87","478.77","3.07M","1.29%"
"01/25/2022","477.32","479.90","482.64","472.37","3.08M","-2.37%"
"01/24/2022","488.90","475.55","489.97","469.01","4.42M","1.51%"
"01/21/2022","481.61","481.92","494.61","481.32","3.30M","-0.25%"
"01/20/2022","482.82","490.75","499.88","481.84","2.89M","-1.50%"
"01/19/2022","490.16","489.89","496.24","487.10","2.71M","0.43%"
"01/18/2022","488.07","494.46","495.08","486.86","3.80M","-2.97%"
"01/14/2022","502.99","511.57","512.98","501.86","3.87M","-2.69%"
"01/13/2022","516.88","527.64","529.05","515.23","2.43M","-1.70%"
"01/12/2022","525.80","522.03","530.03","522.01","1.73M","0.72%"
"01/11/2022","522.03","518.80","522.47","510.29","2.46M","0.62%"
"01/10/2022","518.80","529.29","530.41","508.50","4.92M","-3.24%"
"01/07/2022","536.18","547.55","548.36","534.24","2.32M","-2.48%"
"01/06/2022","549.80","546.20","553.52","543.55","2.50M","-0.02%"
"01/05/2022","549.92","563.69","565.05","549.77","2.89M","-2.54%"
"01/04/2022","564.23","564.23","568.72","561.79","2.10M","-0.44%"
"01/03/2022","566.71","565.03","567.47","555.51","2.72M","-0.17%"
